orderID,productID,unitPrice,quantity,discount
1,74,10,24,0.53
2,72,34.8,24,0.35
3,75,7.75,4,0.42
4,66,17,1,0.19
5,24,4.5,17,0.64
6,65,21.05,38,0.3
7,57,19.5,8,0.43
8,64,33.25,52,0.14
9,37,26,25,0.18
10,56,38,42,0.25
11,22,21,35,0.3
12,69,36,63,0.46
13,15,15.5,28,0.86
14,57,19.5,56,0.74
15,32,32,62,0.12
16,11,21,43,0.69
17,55,24,36,0.55
18,70,15,62,0.2
19,24,4.5,44,0.22
20,32,32,43,0.71
21,26,31.23,19,0.96
22,32,32,62,0.99
23,6,25,22,0.88
24,69,36,50,0.16
25,48,12.75,2,0.44
26,73,15,24,0.3
27,20,81,27,0.53
28,54,7.45,1,0.36
29,15,15.5,13,0.19
30,65,21.05,4,0.26
31,70,15,5,0.97
32,47,9.5,14,0.98
33,6,25,51,0.38
34,69,36,48,0.79
35,1,18,59,0.37
36,52,7,36,0.66
37,5,21.35,61,0.49
38,65,21.05,23,0.71
39,66,17,39,0.35
40,72,34.8,12,0.48
41,12,38,19,0.59
42,10,31,10,0.69
43,67,14,53,0.43
44,26,31.23,34,0.12
45,61,28.5,49,0.67
46,33,2.5,48,0.84
47,65,21.05,28,0.98
48,32,32,24,0.77
49,30,25.89,14,0.48
50,17,39,21,0.93
51,73,15,25,0.76
52,42,14,30,0.27
53,71,21.5,43,0.29
54,63,43.9,46,0.26
55,26,31.23,16,0.15
56,36,19,69,0.7
57,53,32.8,51,0.96
58,4,22,34,0.76
59,34,14,9,0.44
60,20,81,39,0.22
61,65,21.05,60,0.93
62,22,21,26,0.5
63,49,20,2,0.4
64,52,7,7,0.5
65,77,13,63,0.15
66,41,9.65,63,0.5
67,67,14,43,0.55
68,71,21.5,61,0.76
69,15,15.5,40,0.39
70,30,25.89,45,0.29
71,4,22,49,0.2
72,63,43.9,52,0.51
73,44,19.45,52,0.9
74,36,19,36,0.13
75,72,34.8,56,0.35
76,35,18,63,0.69
77,49,20,62,0.44
78,56,38,32,0.28
79,41,9.65,59,0.71
80,50,16.25,21,0.16
81,1,18,15,0.15
82,71,21.5,7,0.41
83,40,18.4,67,0.55
84,7,30,45,0.58
85,9,97,63,0.26
86,72,34.8,50,0.93
87,54,7.45,31,0.96
88,27,43.9,56,0.31
89,61,28.5,26,0.22
90,26,31.23,13,0.48
91,29,123.79,4,0.65
92,10,31,4,0.21
93,29,123.79,47,0.24
94,47,9.5,41,1
95,63,43.9,21,0.52
96,25,14,53,0.73
97,60,34,27,0.57
98,23,9,5,0.24
99,33,2.5,42,0.28
100,70,15,24,0.73
101,47,9.5,26,0.69
102,50,16.25,35,0.54
103,17,39,68,0.52
104,33,2.5,22,0.63
105,66,17,43,0.24
106,23,9,44,0.56
107,27,43.9,20,0.62
108,30,25.89,60,0.41
109,24,4.5,48,0.99
110,44,19.45,64,0.13
111,27,43.9,8,0.17
112,22,21,64,0.16
113,5,21.35,10,0.69
114,76,18,40,0.25
115,8,40,46,0.55
116,61,28.5,25,0.48
117,1,18,4,0.28
118,57,19.5,49,0.75
119,64,33.25,1,0.39
120,25,14,11,0.48
121,24,4.5,4,0.68
122,3,10,24,0.69
123,58,13.25,54,0.7
124,12,38,44,0.1
125,10,31,37,0.53
126,65,21.05,40,0.93
127,77,13,23,0.76
128,61,28.5,36,0.49
129,33,2.5,29,0.46
130,10,31,39,0.36
131,61,28.5,34,0.27
132,58,13.25,45,0.39
133,59,55,67,0.41
134,71,21.5,65,0.57
135,58,13.25,70,0.89
136,18,62.5,29,0.11
137,71,21.5,61,0.42
138,27,43.9,67,0.46
139,49,20,4,1
140,21,10,46,0.52
141,3,10,60,0.71
142,21,10,36,0.58
143,39,18,40,0.75
144,16,17.45,23,0.79
145,69,36,7,0.33
146,17,39,44,0.28
147,59,55,61,0.73
148,73,15,58,0.15
149,40,18.4,27,0.31
150,77,13,17,0.79
151,59,55,21,0.41
152,53,32.8,11,0.43
153,65,21.05,16,0.64
154,10,31,51,0.55
155,32,32,66,0.45
156,3,10,44,0.51
157,26,31.23,69,0.48
158,10,31,42,0.21
159,35,18,31,0.37
160,38,263.5,42,0.31
161,60,34,20,0.94
162,20,81,48,0.94
163,18,62.5,42,0.12
164,42,14,34,0.67
165,60,34,50,0.44
166,65,21.05,40,0.28
167,22,21,60,0.61
168,11,21,25,0.99
169,71,21.5,52,0.71
170,57,19.5,57,0.79
171,3,10,61,0.51
172,57,19.5,46,0.74
173,8,40,37,0.65
174,27,43.9,54,0.83
175,32,32,35,0.66
176,63,43.9,57,0.19
177,73,15,19,0.72
178,43,46,1,0.46
179,46,12,11,0.98
180,11,21,66,0.61
181,8,40,44,0.16
182,41,9.65,31,0.12
183,48,12.75,38,0.22
184,33,2.5,15,0.43
185,4,22,8,0.69
186,55,24,57,0.64
187,63,43.9,56,0.3
188,19,9.2,69,0.54
189,7,30,37,0.22
190,3,10,59,0.61
191,5,21.35,53,0.96
192,26,31.23,52,0.23
193,63,43.9,21,0.73
194,17,39,30,0.98
195,48,12.75,37,0.18
196,69,36,9,0.19
197,58,13.25,67,0.3
198,17,39,50,0.26
199,38,263.5,21,0.21
200,41,9.65,57,0.67
201,54,7.45,22,0.58
202,41,9.65,4,1
203,5,21.35,7,0.42
204,8,40,61,0.91
205,57,19.5,44,0.45
206,26,31.23,13,0.23
207,35,18,58,0.1
208,66,17,62,0.93
209,57,19.5,27,0.75
210,32,32,12,0.1
211,22,21,36,0.43
212,25,14,67,0.13
213,13,6,2,0.45
214,43,46,24,0.64
215,61,28.5,17,0.23
216,65,21.05,2,0.73
217,17,39,63,0.74
218,5,21.35,24,0.66
219,48,12.75,27,0.13
220,36,19,39,0.69
221,44,19.45,58,0.42
222,32,32,59,0.96
223,67,14,68,0.42
224,61,28.5,55,0.39
225,62,49.3,45,0.58
226,11,21,70,0.62
227,51,53,67,0.13
228,1,18,37,0.78
229,26,31.23,26,0.83
230,44,19.45,59,0.98
231,18,62.5,28,0.67
232,30,25.89,67,0.83
233,76,18,51,0.91
234,23,9,21,0.26
235,2,19,69,0.19
236,54,7.45,12,0.71
237,47,9.5,37,0.34
238,48,12.75,42,0.53
239,14,23.25,65,0.74
240,23,9,25,0.93
241,68,12.5,48,0.25
242,75,7.75,10,0.26
243,34,14,32,0.61
244,54,7.45,39,0.85
245,70,15,45,0.76
246,58,13.25,56,0.79
247,67,14,1,0.82
248,54,7.45,11,0.73
249,64,33.25,46,0.68
250,8,40,9,0.6
251,41,9.65,36,0.27
252,53,32.8,24,0.84
253,39,18,14,0.2
254,41,9.65,24,0.29
255,15,15.5,33,0.5
256,19,9.2,54,0.89
257,45,9.5,14,0.45
258,73,15,51,0.73
259,28,45.6,31,0.77
260,59,55,6,0.13
261,45,9.5,43,0.82
262,55,24,30,0.18
263,62,49.3,17,0.9
264,72,34.8,39,0.2
265,35,18,22,0.36
266,39,18,47,0.67
267,27,43.9,46,0.18
268,53,32.8,56,0.68
269,41,9.65,55,0.95
270,41,9.65,6,0.44
271,43,46,19,0.94
272,74,10,39,0.64
273,11,21,35,0.31
274,2,19,50,0.3
275,15,15.5,70,0.19
276,19,9.2,42,0.47
277,75,7.75,12,0.32
278,18,62.5,23,0.32
279,65,21.05,2,0.68
280,51,53,67,0.96
281,65,21.05,34,0.52
282,29,123.79,26,0.33
283,44,19.45,8,0.65
284,12,38,14,0.26
285,56,38,22,0.41
286,57,19.5,70,1
287,4,22,36,0.19
288,8,40,49,0.51
289,68,12.5,7,0.24
290,4,22,69,0.51
291,59,55,27,0.23
292,17,39,52,0.77
293,45,9.5,62,0.63
294,76,18,39,0.4
295,34,14,30,0.14
296,76,18,37,0.87
297,77,13,40,0.48
298,12,38,6,0.79
299,16,17.45,61,0.34
300,52,7,24,0.6
301,13,6,42,0.65
302,53,32.8,31,0.62
303,43,46,61,0.49
304,36,19,14,0.16
305,60,34,39,0.26
306,65,21.05,4,0.57
307,1,18,35,0.43
308,45,9.5,59,0.38
309,43,46,53,0.76
310,64,33.25,1,0.44
311,46,12,54,0.94
312,10,31,9,0.57
313,23,9,41,0.33
314,9,97,47,0.91
315,75,7.75,30,0.4
316,75,7.75,3,0.5
317,77,13,59,0.93
318,29,123.79,64,0.92
319,65,21.05,51,0.23
320,4,22,56,0.57
321,24,4.5,36,0.92
322,10,31,63,0.12
323,21,10,65,0.65
324,20,81,30,0.25
325,63,43.9,5,0.12
326,9,97,40,0.53
327,63,43.9,52,0.15
328,75,7.75,1,0.49
329,29,123.79,27,0.6
330,11,21,24,0.38
331,39,18,61,0.5
332,63,43.9,39,0.61
333,66,17,11,0.71
334,75,7.75,31,0.17
335,26,31.23,1,0.91
336,51,53,7,0.96
337,47,9.5,64,0.94
338,18,62.5,5,0.63
339,26,31.23,38,0.2
340,26,31.23,57,0.14
341,28,45.6,17,1
342,27,43.9,42,0.4
343,51,53,66,0.49
344,9,97,18,0.13
345,50,16.25,39,0.68
346,23,9,56,0.78
347,44,19.45,66,0.93
348,18,62.5,55,0.12
349,71,21.5,62,0.84
350,14,23.25,68,0.86
351,20,81,51,0.26
352,76,18,4,0.76
353,6,25,57,0.59
354,7,30,55,0.59
355,26,31.23,47,0.78
356,26,31.23,16,0.65
357,29,123.79,12,0.17
358,5,21.35,42,0.78
359,63,43.9,3,0.77
360,21,10,21,0.62
361,72,34.8,31,0.21
362,65,21.05,22,0.98
363,72,34.8,57,0.55
364,72,34.8,44,0.62
365,15,15.5,17,0.16
366,19,9.2,20,0.95
367,64,33.25,58,0.39
368,23,9,16,0.5
369,46,12,29,0.51
370,76,18,2,0.65
371,34,14,45,0.74
372,7,30,46,0.37
373,8,40,45,0.96
374,7,30,68,0.75
375,26,31.23,58,0.87
376,44,19.45,25,0.64
377,7,30,15,0.11
378,6,25,6,0.57
379,59,55,64,0.1
380,69,36,69,0.19
381,4,22,16,0.41
382,53,32.8,21,0.3
